
List of delisted and no longer trading American stocks (through Aug-06)

Sources of delisted stock price and fundamental data:

csidata.com		US/Canada/UK price data
emphasisdata.com	US price data and fundamentals 

Description                                                                     	Exch.	Delist	Ticker
BALDWIN UNITED CORP                                                             	NYSE	Nov-86	BDW
BALFOUR MACLAINE CORP                                                           	AMEX	Nov-91	BML
BALI INC                                                                        	AMEX	Dec-71	BCI
BALI JEWELRY LTD                                                                	NASDAQ	Aug-92	BALI
BALLARD MEDICAL PRODUCTS                                                        	NYSE	Sep-99	BMP
BALLISTIC RECOVERY SYSTEMS INC                                                  	NASDAQ	May-92	BRSI
BALLISTIVET INC                                                                 	NASDAQ	Sep-93	BVET
BALLY ENTERTAINMENT CORP                                                        	NYSE	Dec-96	BLY
BALLY GAMING INTERNATIONAL INC                                                  	NASDAQ	Jun-96	BGII
BALLYS GRAND INC                                                                	NASDAQ	Mar-98	BGLV
BALLYS PARK PL INC                                                              	NYSE	Jun-86	BPP
BALTEK CORP                                                                     	NASDAQ	Jun-03	BTEK
BALTIC INTERNATIONAL USA INC                                                    	NASDAQ	Sep-98	BISA
BALTIMORE & OHIO RR CO                                                          	NYSE	Dec-66	BO
BALTIMORE & OHIO RR CO STAMPED                                                  	NYSE	Feb-63	BO
BALTIMORE BANCORP                                                               	NYSE	Nov-94	BBB
BALTIMORE BUSINESS FORMS INC                                                    	NASDAQ	Sep-78	BBUS
BALTIMORE PAINT & CHEM CORP                                                     	NASDAQ	Jan-76	BPCH
BALTIMORE TECHNOLOGIES PLC                                                      	NASDAQ	Sep-01	BALT
BAM ENTERTAINMENT INC                                                           	NASDAQ	Oct-04	BFUN
BAM! Entertainment                                                              	NASDAQ	Jan-06	BFUN
Banc Corporation (The)                                                          	NASDAQ	May-06	TBNC
BANCA QUADRUM SA                                                                	NASDAQ	May-01	QDRMY
BANCAL TRI ST CORP                                                              	NYSE	Jun-84	BNC
BANCFIRST OHIO CORP                                                             	NASDAQ	Mar-02	BFOH
BANCFLORIDA FINANCIAL CORP                                                      	NYSE	Aug-94	BFL
Bancinsurance Corporation                                                       	NASDAQ	Feb-05	BCIS
Banco Bilbao Vizcaya Arge                                                       	NYSE	Jul-06	BBV-B
BANCO CENTRAL HISPANOAMERICANO                                                  	NYSE	Apr-99	BCH
BANCO COMERCIAL PORTUGUES SA                                                    	NYSE	Jun-98	BPC
BANCO COMERCIAL PORTUGUES SA                                                    	NYSE	Sep-03	BPC
BANCO CREDITO Y AHORRO PONCENO                                                  	NASDAQ	Aug-77	BCRD
BANCO DE A EDWARDS                                                              	NYSE	Dec-01	AED
BANCO DE GALICIA                                                                	NASDAQ	Jul-00	BGALY
BANCO DE LOS ANDES COLUMBIA                                                     	AMEX	Aug-62	BCA
BANCO GANADERO S A                                                              	NYSE	Apr-01	BGA
BANCO O HIGGINS                                                                 	NYSE	Jan-97	OHG
BANCO POPULAR DE P R                                                            	NASDAQ	Dec-90	BPOP
BANCO RIO DE LA PLATA S A                                                       	NYSE	Oct-01	BRS
BANCO SANTANDER CHILE                                                           	NYSE	Jul-02	BSB
BANCO WIESE LIMITADO                                                            	NYSE	Apr-01	BWP
BANCO WIESE LIMITADO                                                            	NYSE	Sep-05	BWP
BANCOHIO CORP                                                                   	NASDAQ	Nov-84	BOHI
BANCOKLAHOMA CORP                                                               	NASDAQ	Sep-91	BOKC
BANCORP CONNECTICUT INC                                                         	NASDAQ	Aug-02	BKCT
BANCORP N J INC                                                                 	NASDAQ	Jul-95	BCNJ
BANCORP PA                                                                      	NASDAQ	Sep-83	BKPA
BANCSERVE GROUP INC                                                             	NASDAQ	Jun-87	BSGI
BANCTEC INC                                                                     	NYSE	Jul-99	BTC
BANCWEST CORP                                                                   	NASDAQ	Mar-80	BWST
BANCWEST CORP NEW                                                               	NYSE	Dec-01	BWE
BANCWEST CP PFD                                                                 	NYSE	Nov-05	BWE.P
BANFF OIL LTD                                                                   	AMEX	Feb-71	BAF
BANGOR & AROOSTOOK CORP                                                         	NYSE	Oct-64	BNK
BANGOR AMERICA INC                                                              	NASDAQ	May-88	BAMM
BANGOR HYDRO ELECTRIC CO                                                        	NYSE	Oct-01	BGR
BANGOR PUNTA CORP                                                               	NYSE	Feb-84	BNK
BANK AGRICULTURE & COMMERCE CA                                                  	NASDAQ	Feb-82	BAG
BANK AMER                                                                       	NYSE	Mar-28	n/a
BANK BUILDING & EQUIP CORP AMER                                                 	AMEX	May-90	BB
BANK COMMERCE NEW YORK N Y                                                      	NASDAQ	Jun-83	BCNY
BANK COMMERCE SAN DIEGO CALIF                                                   	NASDAQ	Jul-99	BCOM
BANK COMMONWEALTH DETROIT MICH                                                  	NASDAQ	Dec-83	BDET
BANK CORP GEORGIA                                                               	NASDAQ	Dec-97	BCGA
BANK LEUMI LE ISRAEL TEL AVIV                                                   	NASDAQ	Oct-91	BKLM
BANK MANHATTAN                                                                  	NYSE	Sep-28	n/a
BANK MARYLAND CORP                                                              	NASDAQ	Jul-95	BKMD
